requestedUrl,finalUrl,category,name,title,type,score
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","performance-score","Overall Performance Category Score","numeric","0.63"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.85"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","interactive","Time to Interactive","numeric","0.87"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","speed-index","Speed Index","numeric","0.15"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","total-blocking-time","Total Blocking Time","numeric","0.99"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.55"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.03"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.92"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.85"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.73"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","uses-responsive-images","Properly size images","numeric","0.86"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","unminified-css","Minify CSS","numeric","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","unused-css-rules","Reduce unused CSS","numeric","0.95"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Performance","unused-javascript","Reduce unused JavaScript","numeric","0.91"
